1	\N	OFFICE OF THE CHIEF OPERATING OFFICER	\N	2020-05-08 16:02:30.370269	2020-05-08 16:02:30.370269	\N
2	1	Administrative Justice and Service Delivery (AJSD)	\N	2020-05-08 16:02:30.413289	2020-05-08 16:02:30.413289	\N
3	1	Good Governance and Integrity (GGI)	\N	2020-05-08 16:02:30.421773	2020-05-08 16:02:30.421773	\N
4	1	Complaints and Stakeholder Management (CSM)	\N	2020-05-08 16:02:30.430001	2020-05-08 16:02:30.430001	\N
5	1	Provincial Investigation and Integration (inland) (PII1)	\N	2020-05-08 16:02:30.461588	2020-05-08 16:02:30.461588	\N
6	1	Provincial Investigation and Integration (Coastal) (PII2 )	\N	2020-05-08 16:02:30.469248	2020-05-08 16:02:30.469248	\N
7	2	\N	\N	2020-05-08 16:02:30.512565	2020-05-08 16:02:30.512565	1
8	2	\N	\N	2020-05-08 16:02:30.521553	2020-05-08 16:02:30.521553	2
9	2	\N	\N	2020-05-08 16:02:30.531879	2020-05-08 16:02:30.531879	3
10	2	\N	\N	2020-05-08 16:02:30.570966	2020-05-08 16:02:30.570966	4
11	2	\N	\N	2020-05-08 16:02:30.609727	2020-05-08 16:02:30.609727	5
12	2	\N	\N	2020-05-08 16:02:30.620469	2020-05-08 16:02:30.620469	6
13	2	\N	\N	2020-05-08 16:02:30.727093	2020-05-08 16:02:30.727093	7
14	2	\N	\N	2020-05-08 16:02:30.76541	2020-05-08 16:02:30.76541	8
15	2	\N	\N	2020-05-08 16:02:30.779943	2020-05-08 16:02:30.779943	9
16	3	George	\N	2020-05-08 16:02:30.818442	2020-05-08 16:02:30.818442	\N
17	3	Kuruman	\N	2020-05-08 16:02:30.823354	2020-05-08 16:02:30.823354	\N
18	3	Klerksdorp	\N	2020-05-08 16:02:30.829808	2020-05-08 16:02:30.829808	\N
19	3	Mthatha	\N	2020-05-08 16:02:30.859664	2020-05-08 16:02:30.859664	\N
20	3	Musina	\N	2020-05-08 16:02:30.864827	2020-05-08 16:02:30.864827	\N
21	3	Pietermaritzburg	\N	2020-05-08 16:02:30.870279	2020-05-08 16:02:30.870279	\N
22	3	Rustenburg	\N	2020-05-08 16:02:30.876064	2020-05-08 16:02:30.876064	\N
23	3	Upington	\N	2020-05-08 16:02:30.881081	2020-05-08 16:02:30.881081	\N
24	3	Phuthaditjhaba	\N	2020-05-08 16:02:30.911718	2020-05-08 16:02:30.911718	\N
